"10.1257/00028280260136246","This paper describes the design and behavior of an experimental economy with the structure of the Ramsey Cass Koopmans model of optimal growth  The experiment includes three different implementations of the model  a decentralized implementation with multiple agents and a market for capital  a treatment where individual subjects are placed in the role of social planners  and a treatment where the social planner consists of five agents making a joint decision  The findings highlight the role of market institutions in facilitating convergence to the optimal steady state    ","C91 C92 O40"
"10.1257/00028280260136255","This paper evaluates the effects of fiscal policy on investment using a panel of OECD countries  We find a sizeable negative effect of public spending and in particular of its wage component on profits and on business investment  This result is consistent with different theoretical models in which government employment creates wage pressure for the private sector  Various types of taxes also have negative effects on profits  but  interestingly  the effects of government spending on investment are larger than those of taxes  Our results can explain the so called  non Keynesian   i e   expansionary  effects of fiscal adjustments    ","E22 E62"
"10.1257/00028280260136264","An income tax provides implicit insurance by dampening the variability of disposable income and consumption  Using an empirical framework derived from the consumption insurance literature and data from the Panel Study of Income Dynamics we examine the effect of federal income tax reforms of the 1980 s on automatic stabilization of consumption  Overall  ERTA and TRA86 reduced consumption stability by about 50 percent  Recently increased EITC generosity restored or enhanced consumption insurance  The welfare cost of moving to the post TRA86 system is sizable for relatively risk averse households facing large income risk but is much more modest for the typical household    ","H21"
"10.1257/00028280260136309","During the 1980 s  theories were developed to explain the striking correlation between real exchange rates and foreign direct investment  FDI   However  this relationship broke down for Japanese FDI in the 1990 s  as the real exchange rate appreciated while FDI plummeted  We propose the relative access to credit hypothesis and show that unequal access to credit by Japanese firms contributes to the explanation of declining Japanese FDI  Using bank level and firm level data sets  we find that financial difficulties at banks were economically and statistically important in reducing the number of FDI projects by Japanese firms into the United States    ","G21 F36"
"10.1257/00028280260136318","We develop a model linking maximum damage awards available to plaintiffs in wrongful termination lawsuits  workers  propensity to sue as a function of experience  and returns to experience  Using Equal Employment Opportunity Commission data on protected worker discrimination complaints and labor market data from the Current Population Survey  we examine how returns to experience among protected workers changed around the passage of the Civil Rights Act of 1991  We show that employers  reactions to employment protections may induce redistributive effects  Furthermore  these effects operate not merely across groups of differing protected status  but also within groups of identical protected status    ","D21 J31 J71 K31"
"10.1257/00028280260136372","This paper presents dual estimates of total factor productivity growth  TFPG  for East Asian countries  While the dual estimates of TFPG for Korea and Hong Kong are similar to the primal estimates  they exceed the primal estimates by 1 percent a year for Taiwan and by more than 2 percent for Singapore  The reason for the large discrepancy for Singapore is because the return to capital has remained constant  despite the high rate of capital accumulation indicated by Singapore s national accounts  This discrepancy is not explained by financial market controls  capital income taxes  risk premium changes  and public investment subsidies    ","O11 O16 O47 O53"
"10.1257/00028280260136381","We decompose labor productivity growth into components attributable to  1  technological change  shifts in the world production frontier    2  technological catch up  movements toward or away from the frontier   and  3  capital accumulation  movement along the frontier   The world production frontier is constructed using deterministic methods requiring no specification of functional form for the technology nor any assumption about market structure or the absence of market imperfections  We analyze the evolution of the cross country distribution of labor productivity in terms of the tripartite decomposition  finding that technological change is decidedly nonneutral and that both growth and bipolar international divergence are driven primarily by capital deepening    ","O30 O47 D24"
"10.1257/00028280260136426","We investigate the ability of expected utility theory to account for simultaneous gambling and insurance  Contrary to a previous claim that borrowing and lending in perfect capital markets removes the demand for gambles  we show expected utility theory with nonconcave utility functions can explain gambling  When the rates of interest and time preference are equal  agents seek to gamble unless income falls in a finite set of values  When they differ  there is a range of incomes where gambles are desired  Different borrowing and lending rates can account for persistent gambling provided the rates span the rate of time preference    ","D81 D91"
"10.1257/00028280260136435","Auctions are generally not efficient when the object s expected value depends on private and common value information  We report a series of first price auction experiments to measure the degree of inefficiency that occurs with financially motivated bidders  While some subjects fall prey to the winner s curse  they weigh their private and common value information in roughly the same manner as rational bidders  with observed efficiencies close to predicted levels  Increased competition and reduced uncertainty about the common value positively affect revenues and efficiency  The public release of information about the common value also raises efficiency  although less than predicted    ","C72 D44"
"10.1257/00028280260344452","We document the return to investing in U S  nonpublicly traded equity  Entrepreneurial investment is extremely concentrated  yet despite its poor diversification  we find that the returns to private equity are no higher than the returns to public equity  Given the large public equity premium  it is puzzling why households willingly invest substantial amounts in a single privately held firm with a seemingly far worse risk return trade off  We briefly discuss how large nonpecuniary benefits  a preference for skewness  or overestimates of the probability of survival could potentially explain investment in private equity despite these findings    ","G11 G12 M13"
"10.1257/00028280260344461","In many important high technology markets  including software development  data processing  communications  aeronautics  and defense  suppliers learn through experience how to provide better service at lower cost  This paper examines how a buyer designs dynamic competition among rival suppliers to exploit learning economies while minimizing the costs of becoming locked in to one producer  Strategies for controlling dynamic competition include the handicapping of more efficient suppliers in procurement competitions  the protection and allocation of intellectual property  and the sharing of information among rival suppliers    ","C73 D44 L10"
"10.1257/00028280260344489","Can historical wealth distributions affect long run output and inequality despite  rational  saving  convex technology and no externalities  We consider a model of equilibrium short period financial contracts  where poor agents face credit constraints owing to moral hazard and limited liability  If agents have no bargaining power  poor agents have no incentive to save  poverty traps emerge and agents are polarized into two classes  with no interclass mobility  If instead agents have all the bargaining power  strong saving incentives are generated  the wealth of poor and rich agents alike drift upward indefinitely and  history  does not matter eventually   ","D31 D91 I32 O17 Q15"
"10.1257/00028280260344506","The pattern of disagreement between bond raters suggests that banks and insurance firms are inherently more opaque than other types of firms  Moody s and S P split more often over these financial intermediaries  and the splits are more lopsided  as theory here predicts  Uncertainty over the banks stems from certain assets  loans and trading assets in particular  the risks of which are hard to observe or easy to change  Banks  high leverage  which invites agency problems  compounds the uncertainty over their assets  These findings bear on both the existence and reform of bank regulation    ","G20 G21 G28"
"10.1257/00028280260344515","The welfare effects of PTAs are most directly linked to changes in trade prices  i e   the terms of trade  This paper employs a simple strategic pricing game in segmented markets to measure the effects of MERCOSUR on the pricing of  nonmember  exports to Brazil  As Brazil exempts its MERCOSUR partners from tariffs  the resulting competitive pressure leads other exporters to reduce their prices  Working with detailed data on unit values and tariffs we find that the creation of MERCOSUR was associated with significant declines in the prices of nonmembers  exports to the region     ","F13 F15"
"10.1257/00028280260344524","We present new tests of three theories of the labor market  intertemporal substitution  hours restrictions  and implicit contracts  The intertemporal substitution test we implement is an exclusion test robust to many specification errors and we consistently reject this model  We model hours restrictions as part of an endogenous switching model  We compare the implicit probit equation to an unrestricted probit equation for unemployment and reject the hours restriction model  For the implicit contracts model  we estimate nonseparable within period labor supply and consumption equations  We test a cross equation restriction of the model and cannot reject the implicit contracts model    ","E30 J22 J60"
"10.1257/00028280260344542","A special exemption from the 1986 Age Discrimination Act allowed colleges and universities to enforce mandatory retirement of faculty at age 70 until 1994  We construct a survey that permits us to compare faculty turnover rates before and after the law changed at a large sample of institutions with defined contribution pension plans  After the elimination of compulsory retirement the retirement rates of 70  and 71 year olds fell by two thirds and were comparable to rates of 69 year olds  These findings indicate that U S  colleges and universities will experience a rise in the number of older faculty over the coming years    ","J26 I21"
"10.1257/00028280260344551","We study the residential choice of siblings who are altruistic towards their parents  The firstborn child s location choice influences the behavior of the second born child and can shift some of the burden of providing care for the parents from one child to the other  These strategic considerations lead to an equilibrium location pattern with firstborn children locating further away from their parents than second born children  We also analyze the location choices empirically using German data  These data confirm our theoretical predictions    ","H41 J10"
"10.1257/00028280260344560","Specially collected data on adults in the Panel Study of Income Dynamics are used to provide evidence on the longer term effects of Head Start  an early intervention program for poor preschool age children  Whites who attended Head Start are  relative to their siblings who did not  significantly more likely to complete high school  attend college  and possibly have higher earnings in their early twenties  African Americans who participated in Head Start are less likely to have been booked or charged with a crime  There is some evidence of positive spillovers from older Head Start children to their younger siblings    ","J24 I38"
